"account","priority_band","tier","current_repo_count","current_source","fact_status","query_id","query_label","purpose","query","google_url"
"Dannon","A","Tier 1","15+","accounts-json","missing","official-footprint","Official Footprint","Find the company's published network, locations, or footprint page.","(""Dannon"" OR ""Danone"") (locations OR footprint OR network) (manufacturing OR plant OR warehouse OR ""distribution center"")","https://www.google.com/search?q=(%22Dannon%22%20OR%20%22Danone%22)%20(locations%20OR%20footprint%20OR%20network)%20(manufacturing%20OR%20plant%20OR%20warehouse%20OR%20%22distribution%20center%22)"
"Dannon","A","Tier 1","15+","accounts-json","missing","annual-report","Annual Report / IR","Find investor-facing language that discloses facility totals or regional footprint.","(""Dannon"" OR ""Danone"") (""annual report"" OR investor OR ""10-K"") (facilities OR plants OR warehouses OR ""distribution centers"")","https://www.google.com/search?q=(%22Dannon%22%20OR%20%22Danone%22)%20(%22annual%20report%22%20OR%20investor%20OR%20%2210-K%22)%20(facilities%20OR%20plants%20OR%20warehouses%20OR%20%22distribution%20centers%22)"
"Dannon","A","Tier 1","15+","accounts-json","missing","sec-filings","SEC Filings","Cross-check formal public filings when company marketing pages are vague.","site:sec.gov (""Dannon"" OR ""Danone"") (""10-K"" OR ""annual report"") (facilities OR plants OR warehouse OR logistics)","https://www.google.com/search?q=site%3Asec.gov%20(%22Dannon%22%20OR%20%22Danone%22)%20(%2210-K%22%20OR%20%22annual%20report%22)%20(facilities%20OR%20plants%20OR%20warehouse%20OR%20logistics)"
"Dannon","A","Tier 1","15+","accounts-json","missing","north-america-network","North America Network","Separate global footprint claims from the network Casey is actually selling into.","(""Dannon"" OR ""Danone"") (""North America"" OR USA OR US) (manufacturing OR distribution OR logistics) (facilities OR plants OR DCs OR warehouses)","https://www.google.com/search?q=(%22Dannon%22%20OR%20%22Danone%22)%20(%22North%20America%22%20OR%20USA%20OR%20US)%20(manufacturing%20OR%20distribution%20OR%20logistics)%20(facilities%20OR%20plants%20OR%20DCs%20OR%20warehouses)"
"Dannon","A","Tier 1","15+","accounts-json","missing","expansion-history","Expansion History","Catch openings, expansions, and new DC announcements that imply current footprint scale.","(""Dannon"" OR ""Danone"") (""distribution center"" OR plant OR warehouse) (opened OR expansion OR footprint OR network)","https://www.google.com/search?q=(%22Dannon%22%20OR%20%22Danone%22)%20(%22distribution%20center%22%20OR%20plant%20OR%20warehouse)%20(opened%20OR%20expansion%20OR%20footprint%20OR%20network)"
"Dannon","A","Tier 1","15+","accounts-json","missing","operations-footprint","Operations Footprint","Find supply-chain and operations interviews that mention site counts and operating model.","(""Dannon"" OR ""Danone"") (""supply chain"" OR operations OR manufacturing OR logistics) (footprint OR facilities OR plants OR network)","https://www.google.com/search?q=(%22Dannon%22%20OR%20%22Danone%22)%20(%22supply%20chain%22%20OR%20operations%20OR%20manufacturing%20OR%20logistics)%20(footprint%20OR%20facilities%20OR%20plants%20OR%20network)"
"Diageo","B","Tier 2","30+","accounts-json","missing","official-footprint","Official Footprint","Find the company's published network, locations, or footprint page.","""Diageo"" (locations OR footprint OR network) (manufacturing OR plant OR warehouse OR ""distribution center"")","https://www.google.com/search?q=%22Diageo%22%20(locations%20OR%20footprint%20OR%20network)%20(manufacturing%20OR%20plant%20OR%20warehouse%20OR%20%22distribution%20center%22)"
"Diageo","B","Tier 2","30+","accounts-json","missing","annual-report","Annual Report / IR","Find investor-facing language that discloses facility totals or regional footprint.","""Diageo"" (""annual report"" OR investor OR ""10-K"") (facilities OR plants OR warehouses OR ""distribution centers"")","https://www.google.com/search?q=%22Diageo%22%20(%22annual%20report%22%20OR%20investor%20OR%20%2210-K%22)%20(facilities%20OR%20plants%20OR%20warehouses%20OR%20%22distribution%20centers%22)"
"Diageo","B","Tier 2","30+","accounts-json","missing","sec-filings","SEC Filings","Cross-check formal public filings when company marketing pages are vague.","site:sec.gov ""Diageo"" (""10-K"" OR ""annual report"") (facilities OR plants OR warehouse OR logistics)","https://www.google.com/search?q=site%3Asec.gov%20%22Diageo%22%20(%2210-K%22%20OR%20%22annual%20report%22)%20(facilities%20OR%20plants%20OR%20warehouse%20OR%20logistics)"
"Diageo","B","Tier 2","30+","accounts-json","missing","north-america-network","North America Network","Separate global footprint claims from the network Casey is actually selling into.","""Diageo"" (""North America"" OR USA OR US) (manufacturing OR distribution OR logistics) (facilities OR plants OR DCs OR warehouses)","https://www.google.com/search?q=%22Diageo%22%20(%22North%20America%22%20OR%20USA%20OR%20US)%20(manufacturing%20OR%20distribution%20OR%20logistics)%20(facilities%20OR%20plants%20OR%20DCs%20OR%20warehouses)"
"Diageo","B","Tier 2","30+","accounts-json","missing","expansion-history","Expansion History","Catch openings, expansions, and new DC announcements that imply current footprint scale.","""Diageo"" (""distribution center"" OR plant OR warehouse) (opened OR expansion OR footprint OR network)","https://www.google.com/search?q=%22Diageo%22%20(%22distribution%20center%22%20OR%20plant%20OR%20warehouse)%20(opened%20OR%20expansion%20OR%20footprint%20OR%20network)"
"Diageo","B","Tier 2","30+","accounts-json","missing","operations-footprint","Operations Footprint","Find supply-chain and operations interviews that mention site counts and operating model.","""Diageo"" (""supply chain"" OR operations OR manufacturing OR logistics) (footprint OR facilities OR plants OR network)","https://www.google.com/search?q=%22Diageo%22%20(%22supply%20chain%22%20OR%20operations%20OR%20manufacturing%20OR%20logistics)%20(footprint%20OR%20facilities%20OR%20plants%20OR%20network)"
"Frito-Lay","B","Tier 2","20+","heuristic","missing","official-footprint","Official Footprint","Find the company's published network, locations, or footprint page.","(""Frito-Lay"" OR ""PepsiCo"") (locations OR footprint OR network) (manufacturing OR plant OR warehouse OR ""distribution center"")","https://www.google.com/search?q=(%22Frito-Lay%22%20OR%20%22PepsiCo%22)%20(locations%20OR%20footprint%20OR%20network)%20(manufacturing%20OR%20plant%20OR%20warehouse%20OR%20%22distribution%20center%22)"
"Frito-Lay","B","Tier 2","20+","heuristic","missing","annual-report","Annual Report / IR","Find investor-facing language that discloses facility totals or regional footprint.","(""Frito-Lay"" OR ""PepsiCo"") (""annual report"" OR investor OR ""10-K"") (facilities OR plants OR warehouses OR ""distribution centers"")","https://www.google.com/search?q=(%22Frito-Lay%22%20OR%20%22PepsiCo%22)%20(%22annual%20report%22%20OR%20investor%20OR%20%2210-K%22)%20(facilities%20OR%20plants%20OR%20warehouses%20OR%20%22distribution%20centers%22)"
"Frito-Lay","B","Tier 2","20+","heuristic","missing","sec-filings","SEC Filings","Cross-check formal public filings when company marketing pages are vague.","site:sec.gov (""Frito-Lay"" OR ""PepsiCo"") (""10-K"" OR ""annual report"") (facilities OR plants OR warehouse OR logistics)","https://www.google.com/search?q=site%3Asec.gov%20(%22Frito-Lay%22%20OR%20%22PepsiCo%22)%20(%2210-K%22%20OR%20%22annual%20report%22)%20(facilities%20OR%20plants%20OR%20warehouse%20OR%20logistics)"
"Frito-Lay","B","Tier 2","20+","heuristic","missing","north-america-network","North America Network","Separate global footprint claims from the network Casey is actually selling into.","(""Frito-Lay"" OR ""PepsiCo"") (""North America"" OR USA OR US) (manufacturing OR distribution OR logistics) (facilities OR plants OR DCs OR warehouses)","https://www.google.com/search?q=(%22Frito-Lay%22%20OR%20%22PepsiCo%22)%20(%22North%20America%22%20OR%20USA%20OR%20US)%20(manufacturing%20OR%20distribution%20OR%20logistics)%20(facilities%20OR%20plants%20OR%20DCs%20OR%20warehouses)"
"Frito-Lay","B","Tier 2","20+","heuristic","missing","expansion-history","Expansion History","Catch openings, expansions, and new DC announcements that imply current footprint scale.","(""Frito-Lay"" OR ""PepsiCo"") (""distribution center"" OR plant OR warehouse) (opened OR expansion OR footprint OR network)","https://www.google.com/search?q=(%22Frito-Lay%22%20OR%20%22PepsiCo%22)%20(%22distribution%20center%22%20OR%20plant%20OR%20warehouse)%20(opened%20OR%20expansion%20OR%20footprint%20OR%20network)"
"Frito-Lay","B","Tier 2","20+","heuristic","missing","operations-footprint","Operations Footprint","Find supply-chain and operations interviews that mention site counts and operating model.","(""Frito-Lay"" OR ""PepsiCo"") (""supply chain"" OR operations OR manufacturing OR logistics) (footprint OR facilities OR plants OR network)","https://www.google.com/search?q=(%22Frito-Lay%22%20OR%20%22PepsiCo%22)%20(%22supply%20chain%22%20OR%20operations%20OR%20manufacturing%20OR%20logistics)%20(footprint%20OR%20facilities%20OR%20plants%20OR%20network)"
"General Mills","B","Tier 2","20+","heuristic","missing","official-footprint","Official Footprint","Find the company's published network, locations, or footprint page.","""General Mills"" (locations OR footprint OR network) (manufacturing OR plant OR warehouse OR ""distribution center"")","https://www.google.com/search?q=%22General%20Mills%22%20(locations%20OR%20footprint%20OR%20network)%20(manufacturing%20OR%20plant%20OR%20warehouse%20OR%20%22distribution%20center%22)"
"General Mills","B","Tier 2","20+","heuristic","missing","annual-report","Annual Report / IR","Find investor-facing language that discloses facility totals or regional footprint.","""General Mills"" (""annual report"" OR investor OR ""10-K"") (facilities OR plants OR warehouses OR ""distribution centers"")","https://www.google.com/search?q=%22General%20Mills%22%20(%22annual%20report%22%20OR%20investor%20OR%20%2210-K%22)%20(facilities%20OR%20plants%20OR%20warehouses%20OR%20%22distribution%20centers%22)"
"General Mills","B","Tier 2","20+","heuristic","missing","sec-filings","SEC Filings","Cross-check formal public filings when company marketing pages are vague.","site:sec.gov ""General Mills"" (""10-K"" OR ""annual report"") (facilities OR plants OR warehouse OR logistics)","https://www.google.com/search?q=site%3Asec.gov%20%22General%20Mills%22%20(%2210-K%22%20OR%20%22annual%20report%22)%20(facilities%20OR%20plants%20OR%20warehouse%20OR%20logistics)"
"General Mills","B","Tier 2","20+","heuristic","missing","north-america-network","North America Network","Separate global footprint claims from the network Casey is actually selling into.","""General Mills"" (""North America"" OR USA OR US) (manufacturing OR distribution OR logistics) (facilities OR plants OR DCs OR warehouses)","https://www.google.com/search?q=%22General%20Mills%22%20(%22North%20America%22%20OR%20USA%20OR%20US)%20(manufacturing%20OR%20distribution%20OR%20logistics)%20(facilities%20OR%20plants%20OR%20DCs%20OR%20warehouses)"
"General Mills","B","Tier 2","20+","heuristic","missing","expansion-history","Expansion History","Catch openings, expansions, and new DC announcements that imply current footprint scale.","""General Mills"" (""distribution center"" OR plant OR warehouse) (opened OR expansion OR footprint OR network)","https://www.google.com/search?q=%22General%20Mills%22%20(%22distribution%20center%22%20OR%20plant%20OR%20warehouse)%20(opened%20OR%20expansion%20OR%20footprint%20OR%20network)"
"General Mills","B","Tier 2","20+","heuristic","missing","operations-footprint","Operations Footprint","Find supply-chain and operations interviews that mention site counts and operating model.","""General Mills"" (""supply chain"" OR operations OR manufacturing OR logistics) (footprint OR facilities OR plants OR network)","https://www.google.com/search?q=%22General%20Mills%22%20(%22supply%20chain%22%20OR%20operations%20OR%20manufacturing%20OR%20logistics)%20(footprint%20OR%20facilities%20OR%20plants%20OR%20network)"
"Hormel Foods","B","Tier 2","40+","accounts-json","missing","official-footprint","Official Footprint","Find the company's published network, locations, or footprint page.","(""Hormel Foods"" OR ""Hormel"") (locations OR footprint OR network) (manufacturing OR plant OR warehouse OR ""distribution center"")","https://www.google.com/search?q=(%22Hormel%20Foods%22%20OR%20%22Hormel%22)%20(locations%20OR%20footprint%20OR%20network)%20(manufacturing%20OR%20plant%20OR%20warehouse%20OR%20%22distribution%20center%22)"
"Hormel Foods","B","Tier 2","40+","accounts-json","missing","annual-report","Annual Report / IR","Find investor-facing language that discloses facility totals or regional footprint.","(""Hormel Foods"" OR ""Hormel"") (""annual report"" OR investor OR ""10-K"") (facilities OR plants OR warehouses OR ""distribution centers"")","https://www.google.com/search?q=(%22Hormel%20Foods%22%20OR%20%22Hormel%22)%20(%22annual%20report%22%20OR%20investor%20OR%20%2210-K%22)%20(facilities%20OR%20plants%20OR%20warehouses%20OR%20%22distribution%20centers%22)"
"Hormel Foods","B","Tier 2","40+","accounts-json","missing","sec-filings","SEC Filings","Cross-check formal public filings when company marketing pages are vague.","site:sec.gov (""Hormel Foods"" OR ""Hormel"") (""10-K"" OR ""annual report"") (facilities OR plants OR warehouse OR logistics)","https://www.google.com/search?q=site%3Asec.gov%20(%22Hormel%20Foods%22%20OR%20%22Hormel%22)%20(%2210-K%22%20OR%20%22annual%20report%22)%20(facilities%20OR%20plants%20OR%20warehouse%20OR%20logistics)"
"Hormel Foods","B","Tier 2","40+","accounts-json","missing","north-america-network","North America Network","Separate global footprint claims from the network Casey is actually selling into.","(""Hormel Foods"" OR ""Hormel"") (""North America"" OR USA OR US) (manufacturing OR distribution OR logistics) (facilities OR plants OR DCs OR warehouses)","https://www.google.com/search?q=(%22Hormel%20Foods%22%20OR%20%22Hormel%22)%20(%22North%20America%22%20OR%20USA%20OR%20US)%20(manufacturing%20OR%20distribution%20OR%20logistics)%20(facilities%20OR%20plants%20OR%20DCs%20OR%20warehouses)"
"Hormel Foods","B","Tier 2","40+","accounts-json","missing","expansion-history","Expansion History","Catch openings, expansions, and new DC announcements that imply current footprint scale.","(""Hormel Foods"" OR ""Hormel"") (""distribution center"" OR plant OR warehouse) (opened OR expansion OR footprint OR network)","https://www.google.com/search?q=(%22Hormel%20Foods%22%20OR%20%22Hormel%22)%20(%22distribution%20center%22%20OR%20plant%20OR%20warehouse)%20(opened%20OR%20expansion%20OR%20footprint%20OR%20network)"
"Hormel Foods","B","Tier 2","40+","accounts-json","missing","operations-footprint","Operations Footprint","Find supply-chain and operations interviews that mention site counts and operating model.","(""Hormel Foods"" OR ""Hormel"") (""supply chain"" OR operations OR manufacturing OR logistics) (footprint OR facilities OR plants OR network)","https://www.google.com/search?q=(%22Hormel%20Foods%22%20OR%20%22Hormel%22)%20(%22supply%20chain%22%20OR%20operations%20OR%20manufacturing%20OR%20logistics)%20(footprint%20OR%20facilities%20OR%20plants%20OR%20network)"
"JM Smucker","B","Tier 2","25+","accounts-json","missing","official-footprint","Official Footprint","Find the company's published network, locations, or footprint page.","(""JM Smucker"" OR ""The J.M. Smucker Company"") (locations OR footprint OR network) (manufacturing OR plant OR warehouse OR ""distribution center"")","https://www.google.com/search?q=(%22JM%20Smucker%22%20OR%20%22The%20J.M.%20Smucker%20Company%22)%20(locations%20OR%20footprint%20OR%20network)%20(manufacturing%20OR%20plant%20OR%20warehouse%20OR%20%22distribution%20center%22)"
"JM Smucker","B","Tier 2","25+","accounts-json","missing","annual-report","Annual Report / IR","Find investor-facing language that discloses facility totals or regional footprint.","(""JM Smucker"" OR ""The J.M. Smucker Company"") (""annual report"" OR investor OR ""10-K"") (facilities OR plants OR warehouses OR ""distribution centers"")","https://www.google.com/search?q=(%22JM%20Smucker%22%20OR%20%22The%20J.M.%20Smucker%20Company%22)%20(%22annual%20report%22%20OR%20investor%20OR%20%2210-K%22)%20(facilities%20OR%20plants%20OR%20warehouses%20OR%20%22distribution%20centers%22)"
"JM Smucker","B","Tier 2","25+","accounts-json","missing","sec-filings","SEC Filings","Cross-check formal public filings when company marketing pages are vague.","site:sec.gov (""JM Smucker"" OR ""The J.M. Smucker Company"") (""10-K"" OR ""annual report"") (facilities OR plants OR warehouse OR logistics)","https://www.google.com/search?q=site%3Asec.gov%20(%22JM%20Smucker%22%20OR%20%22The%20J.M.%20Smucker%20Company%22)%20(%2210-K%22%20OR%20%22annual%20report%22)%20(facilities%20OR%20plants%20OR%20warehouse%20OR%20logistics)"
"JM Smucker","B","Tier 2","25+","accounts-json","missing","north-america-network","North America Network","Separate global footprint claims from the network Casey is actually selling into.","(""JM Smucker"" OR ""The J.M. Smucker Company"") (""North America"" OR USA OR US) (manufacturing OR distribution OR logistics) (facilities OR plants OR DCs OR warehouses)","https://www.google.com/search?q=(%22JM%20Smucker%22%20OR%20%22The%20J.M.%20Smucker%20Company%22)%20(%22North%20America%22%20OR%20USA%20OR%20US)%20(manufacturing%20OR%20distribution%20OR%20logistics)%20(facilities%20OR%20plants%20OR%20DCs%20OR%20warehouses)"
"JM Smucker","B","Tier 2","25+","accounts-json","missing","expansion-history","Expansion History","Catch openings, expansions, and new DC announcements that imply current footprint scale.","(""JM Smucker"" OR ""The J.M. Smucker Company"") (""distribution center"" OR plant OR warehouse) (opened OR expansion OR footprint OR network)","https://www.google.com/search?q=(%22JM%20Smucker%22%20OR%20%22The%20J.M.%20Smucker%20Company%22)%20(%22distribution%20center%22%20OR%20plant%20OR%20warehouse)%20(opened%20OR%20expansion%20OR%20footprint%20OR%20network)"
"JM Smucker","B","Tier 2","25+","accounts-json","missing","operations-footprint","Operations Footprint","Find supply-chain and operations interviews that mention site counts and operating model.","(""JM Smucker"" OR ""The J.M. Smucker Company"") (""supply chain"" OR operations OR manufacturing OR logistics) (footprint OR facilities OR plants OR network)","https://www.google.com/search?q=(%22JM%20Smucker%22%20OR%20%22The%20J.M.%20Smucker%20Company%22)%20(%22supply%20chain%22%20OR%20operations%20OR%20manufacturing%20OR%20logistics)%20(footprint%20OR%20facilities%20OR%20plants%20OR%20network)"
"The Home Depot","C","Tier 2","200+","accounts-json","missing","official-footprint","Official Footprint","Find the company's published network, locations, or footprint page.","""The Home Depot"" (locations OR footprint OR network) (manufacturing OR plant OR warehouse OR ""distribution center"")","https://www.google.com/search?q=%22The%20Home%20Depot%22%20(locations%20OR%20footprint%20OR%20network)%20(manufacturing%20OR%20plant%20OR%20warehouse%20OR%20%22distribution%20center%22)"
"The Home Depot","C","Tier 2","200+","accounts-json","missing","annual-report","Annual Report / IR","Find investor-facing language that discloses facility totals or regional footprint.","""The Home Depot"" (""annual report"" OR investor OR ""10-K"") (facilities OR plants OR warehouses OR ""distribution centers"")","https://www.google.com/search?q=%22The%20Home%20Depot%22%20(%22annual%20report%22%20OR%20investor%20OR%20%2210-K%22)%20(facilities%20OR%20plants%20OR%20warehouses%20OR%20%22distribution%20centers%22)"
"The Home Depot","C","Tier 2","200+","accounts-json","missing","sec-filings","SEC Filings","Cross-check formal public filings when company marketing pages are vague.","site:sec.gov ""The Home Depot"" (""10-K"" OR ""annual report"") (facilities OR plants OR warehouse OR logistics)","https://www.google.com/search?q=site%3Asec.gov%20%22The%20Home%20Depot%22%20(%2210-K%22%20OR%20%22annual%20report%22)%20(facilities%20OR%20plants%20OR%20warehouse%20OR%20logistics)"
"The Home Depot","C","Tier 2","200+","accounts-json","missing","north-america-network","North America Network","Separate global footprint claims from the network Casey is actually selling into.","""The Home Depot"" (""North America"" OR USA OR US) (manufacturing OR distribution OR logistics) (facilities OR plants OR DCs OR warehouses)","https://www.google.com/search?q=%22The%20Home%20Depot%22%20(%22North%20America%22%20OR%20USA%20OR%20US)%20(manufacturing%20OR%20distribution%20OR%20logistics)%20(facilities%20OR%20plants%20OR%20DCs%20OR%20warehouses)"
"The Home Depot","C","Tier 2","200+","accounts-json","missing","expansion-history","Expansion History","Catch openings, expansions, and new DC announcements that imply current footprint scale.","""The Home Depot"" (""distribution center"" OR plant OR warehouse) (opened OR expansion OR footprint OR network)","https://www.google.com/search?q=%22The%20Home%20Depot%22%20(%22distribution%20center%22%20OR%20plant%20OR%20warehouse)%20(opened%20OR%20expansion%20OR%20footprint%20OR%20network)"
"The Home Depot","C","Tier 2","200+","accounts-json","missing","operations-footprint","Operations Footprint","Find supply-chain and operations interviews that mention site counts and operating model.","""The Home Depot"" (""supply chain"" OR operations OR manufacturing OR logistics) (footprint OR facilities OR plants OR network)","https://www.google.com/search?q=%22The%20Home%20Depot%22%20(%22supply%20chain%22%20OR%20operations%20OR%20manufacturing%20OR%20logistics)%20(footprint%20OR%20facilities%20OR%20plants%20OR%20network)"
"Georgia Pacific","C","Tier 2","150+","accounts-json","missing","official-footprint","Official Footprint","Find the company's published network, locations, or footprint page.","(""Georgia Pacific"" OR ""Georgia-Pacific"") (locations OR footprint OR network) (manufacturing OR plant OR warehouse OR ""distribution center"")","https://www.google.com/search?q=(%22Georgia%20Pacific%22%20OR%20%22Georgia-Pacific%22)%20(locations%20OR%20footprint%20OR%20network)%20(manufacturing%20OR%20plant%20OR%20warehouse%20OR%20%22distribution%20center%22)"
"Georgia Pacific","C","Tier 2","150+","accounts-json","missing","annual-report","Annual Report / IR","Find investor-facing language that discloses facility totals or regional footprint.","(""Georgia Pacific"" OR ""Georgia-Pacific"") (""annual report"" OR investor OR ""10-K"") (facilities OR plants OR warehouses OR ""distribution centers"")","https://www.google.com/search?q=(%22Georgia%20Pacific%22%20OR%20%22Georgia-Pacific%22)%20(%22annual%20report%22%20OR%20investor%20OR%20%2210-K%22)%20(facilities%20OR%20plants%20OR%20warehouses%20OR%20%22distribution%20centers%22)"
"Georgia Pacific","C","Tier 2","150+","accounts-json","missing","sec-filings","SEC Filings","Cross-check formal public filings when company marketing pages are vague.","site:sec.gov (""Georgia Pacific"" OR ""Georgia-Pacific"") (""10-K"" OR ""annual report"") (facilities OR plants OR warehouse OR logistics)","https://www.google.com/search?q=site%3Asec.gov%20(%22Georgia%20Pacific%22%20OR%20%22Georgia-Pacific%22)%20(%2210-K%22%20OR%20%22annual%20report%22)%20(facilities%20OR%20plants%20OR%20warehouse%20OR%20logistics)"
"Georgia Pacific","C","Tier 2","150+","accounts-json","missing","north-america-network","North America Network","Separate global footprint claims from the network Casey is actually selling into.","(""Georgia Pacific"" OR ""Georgia-Pacific"") (""North America"" OR USA OR US) (manufacturing OR distribution OR logistics) (facilities OR plants OR DCs OR warehouses)","https://www.google.com/search?q=(%22Georgia%20Pacific%22%20OR%20%22Georgia-Pacific%22)%20(%22North%20America%22%20OR%20USA%20OR%20US)%20(manufacturing%20OR%20distribution%20OR%20logistics)%20(facilities%20OR%20plants%20OR%20DCs%20OR%20warehouses)"
"Georgia Pacific","C","Tier 2","150+","accounts-json","missing","expansion-history","Expansion History","Catch openings, expansions, and new DC announcements that imply current footprint scale.","(""Georgia Pacific"" OR ""Georgia-Pacific"") (""distribution center"" OR plant OR warehouse) (opened OR expansion OR footprint OR network)","https://www.google.com/search?q=(%22Georgia%20Pacific%22%20OR%20%22Georgia-Pacific%22)%20(%22distribution%20center%22%20OR%20plant%20OR%20warehouse)%20(opened%20OR%20expansion%20OR%20footprint%20OR%20network)"
"Georgia Pacific","C","Tier 2","150+","accounts-json","missing","operations-footprint","Operations Footprint","Find supply-chain and operations interviews that mention site counts and operating model.","(""Georgia Pacific"" OR ""Georgia-Pacific"") (""supply chain"" OR operations OR manufacturing OR logistics) (footprint OR facilities OR plants OR network)","https://www.google.com/search?q=(%22Georgia%20Pacific%22%20OR%20%22Georgia-Pacific%22)%20(%22supply%20chain%22%20OR%20operations%20OR%20manufacturing%20OR%20logistics)%20(footprint%20OR%20facilities%20OR%20plants%20OR%20network)"
"H-E-B","C","Tier 2","50+","accounts-json","missing","official-footprint","Official Footprint","Find the company's published network, locations, or footprint page.","""H-E-B"" (locations OR footprint OR network) (manufacturing OR plant OR warehouse OR ""distribution center"")","https://www.google.com/search?q=%22H-E-B%22%20(locations%20OR%20footprint%20OR%20network)%20(manufacturing%20OR%20plant%20OR%20warehouse%20OR%20%22distribution%20center%22)"
"H-E-B","C","Tier 2","50+","accounts-json","missing","annual-report","Annual Report / IR","Find investor-facing language that discloses facility totals or regional footprint.","""H-E-B"" (""annual report"" OR investor OR ""10-K"") (facilities OR plants OR warehouses OR ""distribution centers"")","https://www.google.com/search?q=%22H-E-B%22%20(%22annual%20report%22%20OR%20investor%20OR%20%2210-K%22)%20(facilities%20OR%20plants%20OR%20warehouses%20OR%20%22distribution%20centers%22)"
"H-E-B","C","Tier 2","50+","accounts-json","missing","sec-filings","SEC Filings","Cross-check formal public filings when company marketing pages are vague.","site:sec.gov ""H-E-B"" (""10-K"" OR ""annual report"") (facilities OR plants OR warehouse OR logistics)","https://www.google.com/search?q=site%3Asec.gov%20%22H-E-B%22%20(%2210-K%22%20OR%20%22annual%20report%22)%20(facilities%20OR%20plants%20OR%20warehouse%20OR%20logistics)"
