Use these account-specific QR cards to route people to the YardFlow website audit page. Cleaner than the old custom form.,,,,,,,
Account,Audit URL,QR,Open Link,Suggested Use,Proof Asset,Graphic File,Notes
Danone,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Danone,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Danone-specific infographic + Primo proof + offer for Primo customer reference join-in.,Dannon.png,Account-specific YardFlow audit route
General Mills,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=General%20Mills,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + short ROI angle around reduced variance and higher throughput.,General_Mills.png,Account-specific YardFlow audit route
Frito-Lay,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Frito-Lay,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + variance-tax framing.,Frito_Lay.png,Account-specific YardFlow audit route
Diageo,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Diageo,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + manufacturing / warehousing site-flow angle.,Diageo.png,Account-specific YardFlow audit route
Hormel Foods,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Hormel%20Foods,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + transformation angle.,Hormel_Foods.png,Account-specific YardFlow audit route
JM Smucker,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=JM%20Smucker,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + variance-tax framing.,JM_Smucker.png,Account-specific YardFlow audit route
The Home Depot,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=The%20Home%20Depot,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.","Primo proof + one-pager focused on standardization, traffic flow, and execution consistency.",The_Home_Depot.png,Account-specific YardFlow audit route
Georgia Pacific,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Georgia%20Pacific,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + operator-first demo angle.,Georgia_Pacific.png,Account-specific YardFlow audit route
H-E-B,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=H-E-B,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + retail distribution growth angle.,H_E_B.png,Account-specific YardFlow audit route
Hyundai Motor America,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Hyundai%20Motor%20America,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + manufacturing/localization angle.,Hyundai_Motor_America.png,Account-specific YardFlow audit route
Honda,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Honda,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + plant throughput frame,Honda.png,Account-specific YardFlow audit route
John Deere,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=John%20Deere,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + industrial campus frame,John_Deere.png,Account-specific YardFlow audit route
Kenco Logistics Services,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Kenco%20Logistics%20Services,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + partner narrative,Kenco_Logistics_Services.png,Account-specific YardFlow audit route
Barnes & Noble,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Barnes%20%26%20Noble,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + retail replenishment frame,Barnes_Noble.png,Account-specific YardFlow audit route
FedEx,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=FedEx,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + network-ops analogy,FedEx.png,Account-specific YardFlow audit route
Dawn Foods,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Dawn%20Foods,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + Dawn-specific one-pager,Dawn_Foods.png,Account-specific YardFlow audit route
Del Monte Foods,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Del%20Monte%20Foods,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + food-network standardization story,Del_Monte_Foods.png,Account-specific YardFlow audit route
Dollar General,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Dollar%20General,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + retail DC variance-tax framing,Dollar_General.png,Account-specific YardFlow audit route
Dollar Tree,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Dollar%20Tree,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + DC ramp / rebuild execution frame,Dollar_Tree.png,Account-specific YardFlow audit route
IKEA,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=IKEA,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + fulfillment-node execution frame,IKEA.png,Account-specific YardFlow audit route