Rank,Account,Parent / Brand,Vertical,Signal Type,Why Now,Primo Angle,Best Intro Path,Source,Source URL 1,Source URL 2,ICP Fit (1-5),MODEX Signal (1-5),Primo Story Fit (1-5),Warm Intro (1-5),Strategic Value (1-5),Meeting Ease (1-5),Priority Score,Priority Band,Tier,Owner,Research Status,Outreach Status,Meeting Status,Current Motion,Next Action,Due Date,Last Updated,Persona Coverage,P1 Count,Named Personas,Open Activities,Notes
1,Dannon,Danone,Food & Beverage,Past attendee list,Active Shaughnessy intro path and likely MODEX attendance signal.,Primo proof should land hardest here because both are high-volume food / beverage-style networks with plant throughput pressure.,Mark Shaughnessy -> Danone CSCO intro,Brief + hunt,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,,5,4,5,5,5,4,#VALUE!,A,Tier 3,Casey,Ready,Not started,No meeting,Account scoring complete,Prep Mark Shaughnessy intro path,,,5,2,5,1,Mark Shaughnessy intro path to CSCO; closest analog to Primo.
1,General Mills,General Mills,Food & Beverage,Past attendee list,New CSCO in March 2026.,Fresh supply chain leadership creates a window to discuss standardization and throughput across plants and DCs.,No warm intro yet,Brief + hunt,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,,5,4,5,2,5,3,#VALUE!,A,Tier 3,Casey,Ready,Not started,No meeting,Account scoring complete,Identify target persona(s),,,5,2,5,0,High-fit food network; Primo story should travel cleanly.
1,Frito-Lay,PepsiCo,Food & Beverage,Past attendee list,Public MODEX signal plus likely fit for multi-site execution standardization.,"High-velocity snack network should respond to reduced gate friction, dock congestion, and more consistent trailer flow.",PepsiCo network / LinkedIn path,Brief + hunt,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,,5,4,5,2,5,3,#VALUE!,A,Tier 3,Casey,Ready,Not started,No meeting,Account scoring complete,Identify target persona(s),,,5,2,5,0,High-throughput network and obvious yard complexity.
1,Diageo,Diageo,Food & Beverage,Past attendee list,Public MODEX signal plus likely fit for multi-site execution standardization.,Beverage flow is time-sensitive and network-heavy; YardFlow story should translate well from Primo.,Board / advisor network research,Brief + hunt,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,,5,4,5,2,5,3,#VALUE!,A,Tier 3,Casey,Ready,Not started,No meeting,Account scoring complete,Identify target persona(s),,,5,2,5,0,Beverage network should map well to the Primo narrative.
1,Hormel Foods,Hormel,Food & Beverage,Past attendee list,New CSCO in March 2026.,Food manufacturing plus leadership change makes this a strong “why now” account.,Board / network research,Brief + hunt,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,,5,4,5,2,4,3,#VALUE!,A,Tier 3,Casey,Not started,Not started,No meeting,Account scoring complete,Identify target persona(s),,,5,2,5,0,Strong fit for food manufacturing plus distribution motion.
1,JM Smucker,The J.M. Smucker Company,Food & Beverage,Past attendee list,New Chief Product Supply Officer role in February 2026.,New product supply leadership is a clean trigger for a network standardization conversation.,Board / network research,Brief + hunt,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,,5,4,5,2,4,3,#VALUE!,A,Tier 3,Casey,Not started,Not started,No meeting,Account scoring complete,Identify target persona(s),,,5,2,5,0,Good balance of fit and logo value.
7,The Home Depot,The Home Depot,Retail,Past attendee + keynote,Official keynote tie gives unusually strong event signal.,Strongest public MODEX signal. Massive retail network makes execution variance expensive.,MODEX keynote proximity + ecosystem intros,Brief + hunt,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,https://mx2026.mapyourshow.com/8_0/sessions/session-details.cfm?scheduleid=223,4,5,4,2,5,3,#VALUE!,C,Tier 3,Casey,Ready,Not started,No meeting,Account scoring complete,Identify target persona(s),,,5,3,5,0,Official keynote speaker Richard McPhail strengthens 2026 attendance signal.
7,Georgia Pacific,Georgia-Pacific,Industrial,Past attendee list,Public MODEX signal plus likely fit for multi-site execution standardization.,Industrial plant flow and trailer variability create real throughput drag across sites.,LinkedIn + website research,Brief + hunt,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,,4,4,4,2,5,3,#VALUE!,C,Tier 3,Casey,Not started,Not started,No meeting,Account scoring complete,Identify target persona(s),,,5,2,5,0,Large plant/DC footprint and operational complexity.
7,H-E-B,H-E-B,Retail,Past attendee list,Public MODEX signal plus likely fit for multi-site execution standardization.,Grocery distribution is brutally unforgiving; standardized site flow has obvious value.,LinkedIn + grocery ops network,Brief + hunt,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,,4,4,4,2,4,3,#VALUE!,C,Tier 3,Casey,Not started,Not started,No meeting,Account scoring complete,Identify target persona(s),,,5,3,5,0,Grocery distribution makes the yard/flow story compelling.
10,Hyundai Motor America,Hyundai,Manufacturing,Past attendee list,Public MODEX signal plus likely fit for multi-site execution standardization.,"Automotive has different physics than CPG, but flow variability still kills utilization and visibility.",Automotive logistics network research,Brief + hunt,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,,4,4,3,1,4,2,#VALUE!,C,Tier 3,Casey,Not started,Not started,No meeting,Account scoring complete,Identify target persona(s),,,5,2,5,0,Cross-vertical proof target with manufacturing complexity.
10,Honda,Honda,Manufacturing,Past attendee list,Public MODEX signal plus likely fit for multi-site execution standardization.,Large manufacturing campuses and logistics complexity make yard execution a real operational lever.,Automotive logistics network research,Brief + hunt,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,,4,4,3,1,4,2,#VALUE!,C,Tier 3,Casey,Not started,Not started,No meeting,Account scoring complete,Identify target persona(s),,,5,3,5,0,Operationally attractive manufacturing account.
10,John Deere,John Deere,Manufacturing,Past attendee list,Public MODEX signal plus likely fit for multi-site execution standardization.,Complex industrial campuses and dealer/service expectations make standardization relevant.,Ag / industrial ops network research,Brief + hunt,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,,4,4,3,1,4,2,#VALUE!,C,Tier 3,Casey,Not started,Not started,No meeting,Account scoring complete,Identify target persona(s),,,5,2,5,0,Strong strategic logo; worth cross-vertical test.
13,Kenco Logistics Services,Kenco,3PL / Logistics,Named speaker,Named session speaker indicates event involvement.,"Less direct logo hunt, more partnership / ecosystem / referral opportunity.",Kristi Montgomery public session presence,2 sources,https://mx2026.mapyourshow.com/8_0/sessions/session-details.cfm?scheduleid=218,https://mx2026.mapyourshow.com/8_0/sessions/speaker-details.cfm?speakerid=154,3,5,2,1,4,4,#VALUE!,C,Tier 3,Casey,Not started,Not started,No meeting,Account scoring complete,Identify target persona(s),,,5,2,5,0,Useful ecosystem and referral play even if not first logo chase.
13,Barnes & Noble,Barnes & Noble,Retail,Named speaker,Named session speaker indicates event involvement.,Named speaker gives strong attendance signal; retail replenishment pain can map well to yard flow.,Annette Danek-Akey public session presence,2 sources,https://mx2026.mapyourshow.com/8_0/sessions/session-details.cfm?scheduleid=218,https://mx2026.mapyourshow.com/8_0/sessions/speaker-details.cfm?speakerid=153,3,5,2,1,3,3,#VALUE!,C,Tier 3,Casey,Not started,Not started,No meeting,Account scoring complete,Identify target persona(s),,,5,2,5,0,Annette Danek-Akey is an official MODEX speaker.
13,FedEx,FedEx,3PL / Logistics,Past attendee list,Public MODEX signal plus likely fit for multi-site execution standardization.,"Useful strategic logo, but more complex sell. Treat as opportunistic unless a warm path appears.",Broad network research,Brief + hunt,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,,3,4,2,1,4,2,#VALUE!,C,Tier 3,Casey,Not started,Not started,No meeting,Account scoring complete,Identify target persona(s),,,5,2,5,0,Late-wave but credible enterprise conversation.
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,