verticals,Food & Beverage,Retail,Manufacturing,3PL / Logistics,Industrial,,,
signal_types,Past attendee list,Named speaker,Keynote,Past attendee + keynote,Past attendee + speaker,Ecosystem target,,
tiers,Tier 1,Tier 2,Tier 3,,,,,
research_status,Not started,In progress,Ready,Blocked,,,,
outreach_status,Not started,Queued,In market,Paused,Responded,,,
meeting_status,No meeting,Targeted,Requested,Booked,Completed,Declined,,
persona_status,To find,Researching,Identified,Intro path found,In outreach,Meeting set,,
activity_types,Research,Warm intro request,Email,LinkedIn,Call,Text,Meeting,Follow-up
owners,Casey,Jake,SDR,Advisor,Unassigned,,,
yes_no,Yes,No,,,,,,
functions,Supply Chain,Logistics,Transportation,Distribution,Warehousing,Operations,Manufacturing,Procurement
seniority,C-Suite,SVP/VP,Director,Senior Manager,Manager,Advisor / Referrer,,
relationship_source,Mark Shaughnessy,Jake network,Investor / advisor,LinkedIn,Website,Conference,Other,
,,,,,,,,
Control,Value,,,,,,,
Fit weight,30,,,,,,,
MODEX signal weight,20,,,,,,,
Primo story weight,20,,,,,,,
Warm intro weight,15,,,,,,,
Strategic value weight,10,,,,,,,
Meeting ease weight,5,,,,,,,
Tier 1 cutoff,85,,,,,,,
Tier 2 cutoff,70,,,,,,,
,,,,,,,,
waves,Wave 0 - Warm intros,Wave 1 - Must-book,Wave 2 - High-value,Wave 3 - Ecosystem / opportunistic,,,,
hunt_status,Not started,Building list,Searching,Named targets found,Ready for outreach,In outreach,Meeting set,
channel_mix,Warm intro + email,Warm intro + LinkedIn,Email + LinkedIn,Email + call,LinkedIn only,,,
proof_assets,Primo infographic,Danone one-pager,MODEX booth/meeting note,Customer reference call,Throughput / ROI summary,,,