Account,Vertical,Public MODEX Signal,Why This Account,Why Now,Likely Pain Points,Primo Relevance,Best First Meeting Outcome,Suggested Attendees,Prep Assets Needed,Open Questions,Source URL 1,Source URL 2
Dannon,Food & Beverage,Past attendee list; active warm-intro path,Closest analog to Primo and strongest warm-intro path.,Active Shaughnessy intro path and likely MODEX attendance signal.,"Trailer queue variability, gate/dock congestion, inconsistent driver journey, poor site-to-site standardization, and weak handoff between yard execution and network planning.",Primo proof should land hardest here because both are high-volume food / beverage-style networks with plant throughput pressure.,"Leave with a clear next meeting, internal follow-up owner, and agreement to review a customer story / reference.","COO / Chief Operations Officer, CSCO / SVP Supply Chain, VP Logistics / Transportation",Primo infographic; Danone one-pager; customer reference call,Who owns yard / gate / campus flow today? Are MODEX attendees already identified? Can Mark or another advisor help route?,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,
General Mills,Food & Beverage,Past attendee list; leadership transition in March 2026,Scaled food network with fresh leadership and likely appetite for standardization.,New CSCO in March 2026.,"Trailer queue variability, gate/dock congestion, inconsistent driver journey, poor site-to-site standardization, and weak handoff between yard execution and network planning.",Fresh supply chain leadership creates a window to discuss standardization and throughput across plants and DCs.,"Leave with a clear next meeting, internal follow-up owner, and agreement to review a customer story / reference.","CSCO / Chief Supply Chain Officer, VP Logistics / Transportation, VP Manufacturing",Primo infographic; throughput / ROI summary,Who owns yard / gate / campus flow today? Are MODEX attendees already identified? Can Mark or another advisor help route?,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,
Frito-Lay,Food & Beverage,Past attendee list,Very high throughput and fleet complexity; small execution gains matter.,Public MODEX signal plus likely fit for multi-site execution standardization.,"Trailer queue variability, gate/dock congestion, inconsistent driver journey, poor site-to-site standardization, and weak handoff between yard execution and network planning.","High-velocity snack network should respond to reduced gate friction, dock congestion, and more consistent trailer flow.","Leave with a clear next meeting, internal follow-up owner, and agreement to review a customer story / reference.","SVP Supply Chain, VP Logistics, VP Transportation / Fleet",Primo infographic; throughput / ROI summary,Who owns yard / gate / campus flow today? Are MODEX attendees already identified? Can Mark or another advisor help route?,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,
Diageo,Food & Beverage,Past attendee list,Beverage network with meaningful site and customer-service sensitivity.,Public MODEX signal plus likely fit for multi-site execution standardization.,"Trailer queue variability, gate/dock congestion, inconsistent driver journey, poor site-to-site standardization, and weak handoff between yard execution and network planning.",Beverage flow is time-sensitive and network-heavy; YardFlow story should translate well from Primo.,"Leave with a clear next meeting, internal follow-up owner, and agreement to review a customer story / reference.","President / Supply or Operations leader, VP Supply Chain, VP Logistics",Primo infographic; customer reference call,Who owns yard / gate / campus flow today? Are MODEX attendees already identified? Can Mark or another advisor help route?,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,
Hormel Foods,Food & Beverage,Past attendee list; leadership transition in March 2026,Food production network plus newly installed supply chain leadership.,New CSCO in March 2026.,"Trailer queue variability, gate/dock congestion, inconsistent driver journey, poor site-to-site standardization, and weak handoff between yard execution and network planning.",Food manufacturing plus leadership change makes this a strong “why now” account.,"Leave with a clear next meeting, internal follow-up owner, and agreement to review a customer story / reference.","CSCO, VP Logistics / Transportation, VP Operations / Manufacturing",Primo infographic; throughput / ROI summary,Who owns yard / gate / campus flow today? Are MODEX attendees already identified? Can Mark or another advisor help route?,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,
JM Smucker,Food & Beverage,Past attendee list; new chief product supply role in Feb 2026,New product supply chief creates a legitimate why-now event.,New Chief Product Supply Officer role in February 2026.,"Trailer queue variability, gate/dock congestion, inconsistent driver journey, poor site-to-site standardization, and weak handoff between yard execution and network planning.",New product supply leadership is a clean trigger for a network standardization conversation.,"Leave with a clear next meeting, internal follow-up owner, and agreement to review a customer story / reference.","Chief Product Supply Officer, VP Logistics / Transportation, VP Manufacturing",Primo infographic; throughput / ROI summary,Who owns yard / gate / campus flow today? Are MODEX attendees already identified? Can Mark or another advisor help route?,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,
The Home Depot,Retail,Past attendee list + official keynote presence,Massive retail network and strongest public MODEX presence.,Official keynote tie gives unusually strong event signal.,"Trailer queue variability, gate/dock congestion, inconsistent driver journey, poor site-to-site standardization, and weak handoff between yard execution and network planning.",Strongest public MODEX signal. Massive retail network makes execution variance expensive.,"Leave with a clear next meeting, internal follow-up owner, and agreement to review a customer story / reference.","EVP Supply Chain / Inventory, SVP Transportation, VP Distribution / Fulfillment",Primo infographic; MODEX meeting note; customer reference call,Who owns yard / gate / campus flow today? Are MODEX attendees already identified? Can Mark or another advisor help route?,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,https://mx2026.mapyourshow.com/8_0/sessions/session-details.cfm?scheduleid=223
Georgia Pacific,Industrial,Past attendee list,Industrial site complexity creates hidden waiting and scheduling costs.,Public MODEX signal plus likely fit for multi-site execution standardization.,"Trailer queue variability, gate/dock congestion, inconsistent driver journey, poor site-to-site standardization, and weak handoff between yard execution and network planning.",Industrial plant flow and trailer variability create real throughput drag across sites.,"Leave with a clear next meeting, internal follow-up owner, and agreement to review a customer story / reference.","VP Supply Chain, VP Logistics / Transportation, VP Manufacturing / Operations",Primo infographic; throughput / ROI summary,Who owns yard / gate / campus flow today? Are MODEX attendees already identified? Can Mark or another advisor help route?,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,
H-E-B,Retail,Past attendee list,Grocery distribution punishes inconsistency fast.,Public MODEX signal plus likely fit for multi-site execution standardization.,"Trailer queue variability, gate/dock congestion, inconsistent driver journey, poor site-to-site standardization, and weak handoff between yard execution and network planning.",Grocery distribution is brutally unforgiving; standardized site flow has obvious value.,"Leave with a clear next meeting, internal follow-up owner, and agreement to review a customer story / reference.","VP Logistics, VP Transportation, VP Distribution / Warehousing",Primo infographic; throughput / ROI summary,Who owns yard / gate / campus flow today? Are MODEX attendees already identified? Can Mark or another advisor help route?,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,
Hyundai Motor America,Manufacturing,Past attendee list,Finished-vehicle and distribution logistics create yard / staging complexity.,Public MODEX signal plus likely fit for multi-site execution standardization.,"Trailer queue variability, gate/dock congestion, inconsistent driver journey, poor site-to-site standardization, and weak handoff between yard execution and network planning.","Automotive has different physics than CPG, but flow variability still kills utilization and visibility.","Leave with a clear next meeting, internal follow-up owner, and agreement to review a customer story / reference.","VP Logistics, VP Supply Chain, Director finished vehicle logistics",Primo infographic; throughput / ROI summary,Who owns yard / gate / campus flow today? Are MODEX attendees already identified? Can Mark or another advisor help route?,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,
Honda,Manufacturing,Past attendee list,Campus-scale manufacturing and inbound logistics are natural fit problems.,Public MODEX signal plus likely fit for multi-site execution standardization.,"Trailer queue variability, gate/dock congestion, inconsistent driver journey, poor site-to-site standardization, and weak handoff between yard execution and network planning.",Large manufacturing campuses and logistics complexity make yard execution a real operational lever.,"Leave with a clear next meeting, internal follow-up owner, and agreement to review a customer story / reference.","VP Supply Chain, VP Logistics, Director plant logistics",Primo infographic; throughput / ROI summary,Who owns yard / gate / campus flow today? Are MODEX attendees already identified? Can Mark or another advisor help route?,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,
John Deere,Manufacturing,Past attendee list,Industrial campus and dealer network complexity make site execution relevant.,Public MODEX signal plus likely fit for multi-site execution standardization.,"Trailer queue variability, gate/dock congestion, inconsistent driver journey, poor site-to-site standardization, and weak handoff between yard execution and network planning.",Complex industrial campuses and dealer/service expectations make standardization relevant.,"Leave with a clear next meeting, internal follow-up owner, and agreement to review a customer story / reference.","President / enterprise supply management, VP Logistics, VP Manufacturing",Primo infographic; throughput / ROI summary,Who owns yard / gate / campus flow today? Are MODEX attendees already identified? Can Mark or another advisor help route?,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,
Kenco Logistics Services,3PL / Logistics,Named speaker in official session program,Potential partner / ecosystem route instead of pure direct sell.,Named session speaker indicates event involvement.,"Trailer queue variability, gate/dock congestion, inconsistent driver journey, poor site-to-site standardization, and weak handoff between yard execution and network planning.","Less direct logo hunt, more partnership / ecosystem / referral opportunity.","Leave with a clear next meeting, internal follow-up owner, and agreement to review a customer story / reference.","VP Innovation, VP Operations, VP Customer Solutions",MODEX meeting note; customer reference call,Who owns yard / gate / campus flow today? Are MODEX attendees already identified? Can Mark or another advisor help route?,https://mx2026.mapyourshow.com/8_0/sessions/session-details.cfm?scheduleid=218,https://mx2026.mapyourshow.com/8_0/sessions/speaker-details.cfm?speakerid=154
Barnes & Noble,Retail,Named speaker in official session program,Named speaker raises odds of access and retail replenishment is a strong use case.,Named session speaker indicates event involvement.,"Trailer queue variability, gate/dock congestion, inconsistent driver journey, poor site-to-site standardization, and weak handoff between yard execution and network planning.",Named speaker gives strong attendance signal; retail replenishment pain can map well to yard flow.,"Leave with a clear next meeting, internal follow-up owner, and agreement to review a customer story / reference.","CSCO, VP Distribution / Logistics, VP Transportation",Primo infographic; MODEX meeting note,Who owns yard / gate / campus flow today? Are MODEX attendees already identified? Can Mark or another advisor help route?,https://mx2026.mapyourshow.com/8_0/sessions/session-details.cfm?scheduleid=218,https://mx2026.mapyourshow.com/8_0/sessions/speaker-details.cfm?speakerid=153
FedEx,3PL / Logistics,Past attendee list,Strategic logo and learning conversation; harder near-term close.,Public MODEX signal plus likely fit for multi-site execution standardization.,"Trailer queue variability, gate/dock congestion, inconsistent driver journey, poor site-to-site standardization, and weak handoff between yard execution and network planning.","Useful strategic logo, but more complex sell. Treat as opportunistic unless a warm path appears.","Leave with a clear next meeting, internal follow-up owner, and agreement to review a customer story / reference.","VP Operations, VP Transportation, VP Network Planning",MODEX meeting note; customer reference call,Who owns yard / gate / campus flow today? Are MODEX attendees already identified? Can Mark or another advisor help route?,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,