Wave,Wave Order,Account,Rank,Tier,Priority Score,Channel Mix,Primary Objective,Use Warm Intro?,Use Primo Asset?,Primary Persona Lane,Secondary Persona Lane,Start Date,Follow-up 1,Follow-up 2,Escalation Trigger,Meeting Goal,Owner,Status,Notes
Wave 0 - Warm intros,0,Dannon,1,Tier 1,5,Warm intro + email,Secure 15-minute MODEX meeting with Jake,Yes,Yes,COO / Chief Operations Officer,CSCO / SVP Supply Chain,3/24/2026,3/27/2026,3/31/2026,No reply after two touches or no named target found,Booked MODEX meeting or post-show intro call,Casey,Not started,
Wave 1 - Must-book,1,General Mills,1,Tier 1,5,Email + LinkedIn,Secure 15-minute MODEX meeting with Jake,No,Yes,CSCO / Chief Supply Chain Officer,VP Logistics / Transportation,3/27/2026,3/30/2026,4/3/2026,No reply after two touches or no named target found,Booked MODEX meeting or post-show intro call,Jake,Not started,
Wave 1 - Must-book,1,Frito-Lay,1,Tier 1,5,Email + LinkedIn,Secure 15-minute MODEX meeting with Jake,No,Yes,SVP Supply Chain,VP Logistics,3/27/2026,3/30/2026,4/3/2026,No reply after two touches or no named target found,Booked MODEX meeting or post-show intro call,Jake,Not started,
Wave 1 - Must-book,1,Diageo,1,Tier 1,5,Email + LinkedIn,Secure 15-minute MODEX meeting with Jake,No,Yes,President / Supply or Operations leader,VP Supply Chain,3/27/2026,3/30/2026,4/3/2026,No reply after two touches or no named target found,Booked MODEX meeting or post-show intro call,Jake,Not started,
Wave 1 - Must-book,1,Hormel Foods,1,Tier 1,5,Email + LinkedIn,Secure 15-minute MODEX meeting with Jake,No,Yes,CSCO,VP Logistics / Transportation,3/27/2026,3/30/2026,4/3/2026,No reply after two touches or no named target found,Booked MODEX meeting or post-show intro call,Jake,Not started,
Wave 1 - Must-book,1,JM Smucker,1,Tier 1,5,Email + LinkedIn,Secure 15-minute MODEX meeting with Jake,No,Yes,Chief Product Supply Officer,VP Logistics / Transportation,3/27/2026,3/30/2026,4/3/2026,No reply after two touches or no named target found,Booked MODEX meeting or post-show intro call,Jake,Not started,
Wave 1 - Must-book,1,The Home Depot,7,Tier 1,4,Warm intro + email,Secure 15-minute MODEX meeting with Jake,Yes,Yes,EVP Supply Chain / Inventory,SVP Transportation,3/27/2026,3/30/2026,4/3/2026,No reply after two touches or no named target found,Booked MODEX meeting or post-show intro call,Jake,Not started,
Wave 2 - High-value,2,Georgia Pacific,7,Tier 1,4,Email + LinkedIn,Secure 15-minute MODEX meeting with Jake,No,Yes,VP Supply Chain,VP Logistics / Transportation,3/30/2026,4/2/2026,4/6/2026,No reply after two touches or no named target found,Booked MODEX meeting or post-show intro call,Jake,Not started,
Wave 2 - High-value,2,H-E-B,7,Tier 1,4,Email + LinkedIn,Secure 15-minute MODEX meeting with Jake,No,Yes,VP Logistics,VP Transportation,3/30/2026,4/2/2026,4/6/2026,No reply after two touches or no named target found,Booked MODEX meeting or post-show intro call,Jake,Not started,
Wave 2 - High-value,2,Hyundai Motor America,10,Tier 1,3,Email + LinkedIn,Secure 15-minute MODEX meeting with Jake,No,Yes,VP Logistics,VP Supply Chain,3/30/2026,4/2/2026,4/6/2026,No reply after two touches or no named target found,Booked MODEX meeting or post-show intro call,Jake,Not started,
Wave 2 - High-value,2,Honda,10,Tier 1,3,Email + LinkedIn,Secure 15-minute MODEX meeting with Jake,No,Yes,VP Supply Chain,VP Logistics,3/30/2026,4/2/2026,4/6/2026,No reply after two touches or no named target found,Booked MODEX meeting or post-show intro call,Jake,Not started,
Wave 2 - High-value,2,John Deere,10,Tier 1,3,Email + LinkedIn,Secure 15-minute MODEX meeting with Jake,No,Yes,President / enterprise supply management,VP Logistics,3/30/2026,4/2/2026,4/6/2026,No reply after two touches or no named target found,Booked MODEX meeting or post-show intro call,Jake,Not started,
Wave 3 - Ecosystem / opportunistic,3,Kenco Logistics Services,13,Tier 1,2,Email + LinkedIn,Secure 15-minute MODEX meeting with Jake,No,No,VP Innovation,VP Operations,4/2/2026,4/5/2026,4/9/2026,No reply after two touches or no named target found,Booked MODEX meeting or post-show intro call,Jake,Not started,
Wave 3 - Ecosystem / opportunistic,3,Barnes & Noble,13,Tier 1,2,Email + LinkedIn,Secure 15-minute MODEX meeting with Jake,No,Yes,CSCO,VP Distribution / Logistics,4/2/2026,4/5/2026,4/9/2026,No reply after two touches or no named target found,Booked MODEX meeting or post-show intro call,Jake,Not started,
Wave 3 - Ecosystem / opportunistic,3,FedEx,13,Tier 1,2,Email + LinkedIn,Secure 15-minute MODEX meeting with Jake,No,No,VP Operations,VP Transportation,4/2/2026,4/5/2026,4/9/2026,No reply after two touches or no named target found,Booked MODEX meeting or post-show intro call,Jake,Not started,